name,date of joining,age,subscription status
Tom,03.08.2014,70,Inactive
Wilson,05.12.2021,36,Inactive
Ema,30.05.2001,79,Active
Imad,31.07.2023,23,Active
Clea,26.03.2017,38,Inactive
Ema,18.11.2007,74,Inactive
Rihanna,21.11.2023,59,Active
Tom,28.11.2003,57,Active
Wilson,17.03.2013,45,Active
Clea,28.09.2007,30,Active
Ema,29.10.2012,30,Active
Lena,04.04.2002,67,Inactive
Jack,04.05.2004,47,Active
Vanessa,31.01.2001,49,Active
Tiina,07.02.2025,61,Inactive
Wilson,24.07.2004,49,Inactive
Wilson,11.09.2019,52,Inactive
Tommas,16.06.2007,37,Inactive
Wilson,16.08.2013,72,Active
Clea,22.09.2007,35,Active
Tommas,23.11.2019,31,Inactive
Wilson,01.02.2022,68,Active
Clea,12.12.2003,22,Inactive
Nelso,26.04.2016,37,Active
Lotti,23.08.2017,30,Active
Vanessa,10.04.2002,39,Inactive
Imad,19.03.2004,29,Active
Tiina,03.04.2018,22,Active
Sarah,13.02.2008,31,Inactive
Vanessa,23.06.2002,38,Active
Lotti,10.11.2022,71,Inactive
Alena,18.02.2013,35,Inactive
Tommas,09.12.2024,59,Active
Tommas,02.10.2002,38,Active
Vanessa,11.03.2009,35,Active
Tom,03.04.2021,79,Active
Paula,06.02.2024,19,Inactive
Alena,01.09.2024,33,Inactive
Mila,29.01.2022,63,Inactive
Eman,24.01.2015,66,Active
Vanessa,23.03.2007,56,Active
Lotti,24.12.2003,48,Inactive
Aurelie,06.03.2001,66,Inactive
Tom,24.07.2019,18,Active
Tommas,31.12.2007,66,Active
Mila,12.08.2009,53,Inactive
Eman,20.11.2009,43,Active
Wilson,13.04.2014,43,Active
Wilson,21.05.2021,50,Active
Tiina,02.02.2012,64,Active
Wilson,07.01.2024,21,Inactive
Eman,25.08.2006,67,Active
Vanessa,23.08.2013,51,Active
Clea,29.05.2006,30,Inactive
Clea,31.03.2007,42,Active
Wilson,17.03.2005,18,Inactive
Mila,10.08.2001,58,Active
Nelso,25.02.2021,57,Active
Karoline,24.09.2022,30,Inactive
Vanessa,08.12.2023,53,Inactive
Jack,18.11.2019,49,Inactive
Lena,02.03.2009,44,Inactive
Tommas,29.11.2018,47,Active
Imad,27.07.2007,47,Active
Tommas,16.06.2001,56,Inactive
Wilson,19.12.2005,60,Inactive
Nelso,06.07.2018,78,Inactive
Jack,18.08.2022,28,Active
Wilson,28.01.2007,61,Active
Nelso,20.03.2013,20,Inactive
Rihanna,16.05.2009,29,Inactive
Mila,05.06.2007,41,Inactive
Lena,19.07.2016,31,Inactive
Tom,17.05.2011,59,Active
Alena,15.03.2012,39,Inactive
Paula,28.01.2011,77,Inactive
Mila,08.12.2004,23,Active
Vanessa,12.06.2011,46,Active
Lena,24.12.2020,60,Inactive
Tommas,19.10.2022,54,Active
Wilson,11.07.2019,28,Active
Tommas,13.01.2014,22,Active
Lotti,28.02.2015,44,Active
Aurelie,28.11.2019,71,Active
Nelso,29.05.2022,58,Active
Tommas,21.06.2008,18,Inactive
Clea,26.06.2018,66,Inactive
Eman,25.05.2018,80,Active
Clea,25.07.2009,64,Inactive
Nelso,29.10.2019,31,Active
Tom,29.05.2013,63,Inactive
Wilson,19.06.2013,74,Inactive
Jack,01.04.2024,46,Inactive
Paula,14.10.2003,63,Active
Vanessa,16.03.2004,40,Inactive
Tom,29.03.2001,74,Inactive
Eman,25.12.2021,64,Active
Tommas,06.08.2007,40,Inactive
Tom,14.09.2007,42,Inactive
Aurelie,14.08.2020,78,Inactive
Tommas,20.11.2020,67,Inactive
Lotti,31.08.2022,64,Inactive
Tiina,07.05.2020,23,Active
Tiina,17.05.2019,35,Inactive
Tom,11.05.2011,47,Inactive
Rihanna,08.08.2004,32,Inactive
Lotti,11.02.2007,69,Inactive
Imad,23.06.2021,65,Active
Lena,05.05.2004,26,Inactive
Lotti,29.04.2015,75,Active
Vanessa,03.06.2024,52,Inactive
Vanessa,08.10.2021,79,Active
Ema,29.09.2024,44,Inactive
Rihanna,17.03.2019,77,Inactive
Imad,16.04.2016,42,Active
Eman,02.11.2001,26,Inactive
Karoline,06.02.2001,31,Active
Jack,02.08.2000,64,Active
Lena,04.08.2015,25,Active
Nelso,20.04.2012,19,Active
Lena,27.03.2020,49,Inactive
Lotti,22.07.2022,30,Inactive
Imad,31.01.2004,23,Active
Clea,20.05.2012,67,Inactive
Wilson,04.10.2020,46,Active
Imad,05.08.2009,59,Active
Lotti,24.10.2021,20,Active
Lotti,24.03.2011,75,Active
Imad,13.08.2003,54,Active
Ema,14.07.2004,64,Inactive
Lena,30.03.2016,27,Inactive
Nelso,24.01.2000,37,Inactive
Alena,15.10.2010,39,Active
Imad,31.05.2019,57,Active
Nelso,29.03.2013,47,Inactive
Karoline,25.02.2016,54,Active
Ema,22.10.2015,56,Active
Imad,11.02.2016,39,Active
Eman,17.06.2006,52,Inactive
Vanessa,30.07.2018,57,Active
Wilson,27.01.2006,21,Inactive
Sarah,03.05.2003,62,Inactive
Wilson,19.12.2013,33,Active
Jack,09.03.2010,42,Active
Imad,16.10.2016,61,Active
Paula,26.04.2006,51,Active
Rihanna,07.11.2007,47,Inactive
Tiina,12.09.2002,26,Inactive
Eman,17.05.2021,36,Active
Lotti,09.09.2024,40,Active
Jack,02.08.2019,61,Active
Nelso,13.02.2015,18,Inactive
Paula,18.12.2007,57,Active
Sarah,28.03.2017,31,Inactive
Lotti,09.07.2003,43,Active
Vanessa,11.08.2023,55,Active
Lotti,18.09.2004,35,Inactive
Eman,15.02.2009,76,Active
Lotti,08.02.2021,70,Inactive
Tom,13.11.2019,80,Active
Nelso,08.12.2014,77,Inactive
Eman,25.02.2009,75,Inactive
Karoline,03.09.2011,43,Inactive
Lena,04.01.2016,57,Active
Rihanna,29.07.2000,48,Active
Lotti,08.06.2018,65,Active
Lena,18.08.2020,71,Active
Tiina,03.09.2007,73,Inactive
Mila,23.05.2019,44,Active
Rihanna,02.01.2024,70,Active
Nelso,20.10.2004,44,Active
Vanessa,20.01.2017,36,Active
Tom,02.06.2011,67,Active
Aurelie,12.08.2006,46,Inactive
Clea,25.05.2015,44,Active
Karoline,08.07.2003,67,Inactive
Tommas,16.05.2020,51,Active
Rihanna,16.04.2012,58,Active
Aurelie,24.05.2010,43,Inactive
Paula,19.09.2009,65,Inactive
Nelso,17.05.2024,27,Active
Tommas,06.08.2006,53,Active
Eman,18.07.2004,26,Active
Clea,14.12.2019,65,Active
Sarah,09.01.2020,37,Active
Sarah,11.12.2003,36,Active
Lena,09.02.2002,74,Inactive
Tom,02.12.2014,48,Inactive
Clea,13.04.2022,71,Inactive
Jack,19.07.2019,58,Inactive
